name,lat,lon,area_m2
Edmonton Petroleum Golf & Country Club,53.41561657604603,-113.69537843959206,881377.4624255543
Silvertip,51.101323215373974,-115.33827597853741,869231.6975064148
Edmonton Country Club and Golf Course,53.49055817031657,-113.60429594838816,868835.2731946963
Sirocco Golf Club,50.8483471312125,-114.08389547902453,863879.0896366918
,53.53742547912894,-114.43461640158733,851038.6681776004
Brewster's Kananaskis Ranch golf course,51.09849363701525,-115.08220448441497,847676.7228488976
Redwood Meadows Golf & Country Club,50.97873091979281,-114.5251247816054,839261.3034477442
Paradise Canyon Golf & Country Club,49.65005322369761,-112.83187291714405,832673.70107045
Miskanaw Golf Club,56.738948719503036,-111.37952466644283,829607.3377853099
Highwood Golf And Country Club,50.585662843807434,-113.88528507917803,826012.9509156264
Pinehills Golf Course,52.39370365585026,-114.99033501001783,811719.1205589471
Athabasca Golf & Country Club,54.73855241193845,-113.27892134918723,806071.6413655389
Picture Butte Golf Club,49.857695417639995,-112.83105140112725,797146.8720486407
Picture Butte Golf Club,49.857695417639995,-112.83105140112725,797146.8720486407
Blue Devil Golf Club,50.884004447284255,-114.00716585253295,796087.2238747602
Canyon Meadows Golf Course,50.944787952209495,-114.0997845692381,795571.0878415406
McKenzie Meadows Golf Course,50.90296046626215,-114.00311284316915,794659.1680001358
Turner Valley Golf Club,50.66900919558668,-114.26061416348414,789181.2377323956
The Canal at Delacour,51.14803941288405,-113.76682281972671,783293.0999639649
Collicutt Siding Golf Club,51.41157459638459,-114.04331510130548,777737.2889481534
Blackhawk Golf Club,53.386637663127026,-113.66119993697467,772255.4095357702
Mill Woods Golf Course,53.481799361501054,-113.43378287044499,757706.0625449924
Hanna Golf Club,51.653509836496866,-111.92880788200125,747537.4145403415
Maple Ridge Golf Course,50.95676034102488,-114.03368997097895,736154.3957436106
Winston (Calgary Elks) Golf Club,51.07472768236034,-114.04130136499597,733769.9204594818
,49.184107233301866,-113.31940008623151,733237.0148404951
Cattail Crossing Golf Club,53.65386020255326,-113.51137622151396,727331.2852704345
Lethbridge Country Club,49.67267507467434,-112.84440874884154,711019.3803707807
Drayton Valley Golf Club,53.256271867388634,-114.96847404186218,707576.6990250815
Wainwright Golf Club,52.846784199592285,-110.86507689840678,700748.187172155
River Ridge Golf and Country Club,53.439916678170356,-113.63547900885737,696637.8571454769
River Ridge Golf and Country Club,53.439916678170356,-113.63547900885737,696637.8571454769
Goose Hummock Golf Course,53.87075255829499,-113.3274276661084,695394.0560090744
The Track Golf Course,50.961225717199035,-113.66676399174888,684743.2275389724
Sylvan Lake Golf & Country Club,52.30874490556095,-114.11364600022691,680542.9194907472
Windermere Golf and Country Club,53.428510332056064,-113.64771105084274,680136.0643117438
,53.90068905325585,-119.10325951112786,677796.732929252
Red Deer Country Club,52.26669166861551,-113.84488094296408,675471.7238479828
,54.09922015159466,-114.43885276363334,673222.7073820045
Bonnyville Golf & Country Club,54.249579751202326,-110.83417791202838,666148.7445772131
Grande Prairie Golf & Country Club,55.13084208947395,-118.77576052069914,664217.2179200465
,51.44148300826948,-114.28942573736956,662353.3905424397
Magrath Golf Club,49.397308196138304,-112.8846063753079,661123.90286211
Apple Creek Golf Course,51.347366849216186,-114.031076042635,656013.7986236585
Carnmoney Golf & Country Club,50.83038040664489,-113.93487067060217,654328.5500253355
Riverbank Golf & RV Park,55.1733875378497,-112.46302742621403,653773.3541161576
,51.030943612093914,-114.24779369262868,650368.3984119666
,50.35221327324335,-113.76287638301257,647825.6182019629
Bear Creek Golf Course,55.203513746487346,-118.83916976153907,643619.3000258793
The Ranch Golf & Country Club,53.530321434355514,-113.74431047315854,642685.4062739902
,52.65863926871505,-113.57042893076837,641839.2095780738
Broadmoor Public Golf Course,53.52964250498128,-113.31157292761483,641516.4349234938
Olds Golf Course,51.806006367977325,-114.05497105064114,639388.4495018901
Valley Ridge Golf Club,51.09789185473879,-114.25427477494809,638360.014602755
Terrae Pines Golf & Country Club & RV Park,53.70927194861664,-113.64569041554273,638119.1843833425
Grand Centre Golf & Country Club,54.38783217311692,-110.1615883392772,636445.3341571584
Balmoral Golf Course,52.27762572435775,-113.72484708660959,635940.300880319
Sandpiper Golf & Country Club,53.61622165359094,-113.70720542746517,634421.0470645629
Muirfield Lakes Golf Club,51.119198723781324,-113.59792572765889,630607.5366316234
Spruce Meadows Golf Club,55.40700195476197,-118.69894999568383,630602.2837312771
Canmore Golf Club,51.10531295305293,-115.37218331991826,624724.7559133096
Belevedere Golf & Country Club,53.42855589349003,-113.25254877213807,623707.5526631334
,53.727055231450294,-113.2791349078637,622316.8685275712
